メインウェポン,サブウエポン,スペシャルウエポン,スペシャル必要ポイント
スプラシューター,キューバンボム,ウルトラショット,200
スプラシューターコラボ,,,
プライムシューター,ラインマーカー,カニタンク,200
プライムシューターコラボ,,,
シャープマーカー,クイックボム,カニタンク,
シャープマーカーネオ,,,
わかばシューター,スプラッシュボム,グレートバリア,180
もみじシューター,,,
プロモデラーMG（銀）,タンサンボム,サメライド,200
プロモデラーRG（金）,,ナイスダマ,
N-ZAP85（黒）,キューバンボム,エナジースタンド,200
N-ZAP89（赤）,,,
.52ガロン,スプラッシュシールド,メガホンレーザー5.1ch,200
.52ガロンデコ,,,
.96ガロン,スプリンクラー,キューインキ,
.96ガロンデコ,,,,
ジェットスイーパー,ラインマーカー,カニタンク,
ジェットスイーパーカスタム,,,
L3リールガン,,,
L3リールガンD,,,
H3リールガン,,,
H3リールガンD,,,
ボールドマーカー,カーリング,ウルトラハンコ,
ボールドマーカーネオ,,,
ボトルガイザー,スプラッシュシールド,ウルトラショット,
ボトルガイザーフォイル,,,
ホットブラスター,ロボットボム,グレートバリア,180
ホットブラスターカスタム,,,
ラピットブラスター,,,
ラピットブラスターデコ,,,
ノヴァブラスター,スプラッシュボム,ショクワンダー,180
ノヴァブラスターネオ,,,
クラッシュブラスター,,,
クラッシュブラスターネオ,,,
Rブラスターエリート,,,
Rブラスターエリートデコ,,,
ロングブラスター,キューバンボム,ホップソナー(?),
ロングブラスターカスタム,,,
スプラローラー,カーリングボム,グレートバリア,180
スプラローラーコラボ,,,
ダイナモローラー,スプリンクラー,エナジースタンド,190
ダイナモローラーテスラ,,,
カーボンローラー,,,
カーボンローラーデコ,,,
ヴァリアブルローラー,,マルチミサイル,
ヴァリアブルローラーフォイル,,,
ホクサイ,キューバン,ショクワンダー,200
ホクサイ・ヒュー,,,
パブロ,スプラッシュボム,メガホンレーザー5.1ch,180
パブロ・ヒュー,,,
スプラチャージャー,スプラッシュボム,キューインキ,200
4Kリッター、4Kスコープ,トラップ,ホップソナー,200
ソイチューバー,,,
ソイチューバーカスタム,,,
スクイックリンα,,,
スクイックリンβ,,,
14式竹筒銃・甲,,,
14式竹筒銃・乙,,,
バケットスロッシャー,スプラッシュボム,トリプルトルネード,200
バケットスロッシャーデコ,,,
ヒッセン,ポイズンミスト,ジェットパック,190
ヒッセン・ヒュー,,,
スクリュースロッシャー,,,
スクリュースロッシャーネオ,,,
エクスプロッシャー,,,
エクスプロッシャーカスタム,,,
オーバーフロッシャー,,,
オーバーフロッシャーデコ,,,
バレルスピナー,スプリンクラー,ホップソナー,200
バレルスピナーデコ,,,
スプラスピナー,,,
スプラローラーコラボ,,,
ハイドラント,ロボットボム,ナイスダマ,190
ハイドラントカスタム,,,
クーゲルシュライバー,,,
クーゲルシュライバー・ヒュー,,,
ノーチラス47（銀）,,,
ノーチラス79（金）,,,
スプラマニューバー,キューバンボム,カニタンク,200
スプラマニューバーコラボ,,,
スパッタリー,ビーコン,エナジースタンド,
スパッタリー・ヒュー,,,
デュアルスイーパー,スプラッシュボム,ホップソナー,
デュアルスイーパーカスタム,,,
ケルビン525,スプラッシュシールド,ナイスダマ,
ケルビン525デコ,,,
クアッドホッパーブラック,ロボットボム,サメライド,200
クラッドホッパーホワイト,,,
パラシェルター,スプリンクラー,トリプルトルネード,200
パラシェルターソレーラ,,,
スパイガジェット,トラップ,サメライド,
スパイガジェットソレーラ,,アメフラシ,
キャンピングシェルター,ビーコン,キューインキ,190
キャンピングシェルターソレーラ,,,
トライストリンガー,ポイズンミスト,メガホンレーザー5.1ch,200
ドライブワイパー,トーピード,ウルトラハンコ,180
ジムワイパー,クイックボム,,